sg,sr,sc,dg,dr,dc,color,bytes,job0,job1,job2,job3,job4,job5,job6,job7
0,2,10,0,0,10,k,894.450234,719.462693,0.031861,0.251403,42.199529,120.797982,0.294831,5.745783,5.666152
1,2,10,1,0,10,k,900.207933,681.578289,0.094672,0.138640,44.380830,164.846849,0.096670,2.043698,7.028285
2,2,10,2,0,10,k,456.090489,191.174461,0.395546,0.179996,48.540458,204.585525,0.141472,1.901876,9.171155
3,2,10,3,0,10,k,461.528004,30.619648,1.220006,0.271225,109.402310,289.170185,0.199604,17.169404,13.475622
4,2,10,4,0,10,k,1039.651645,29.953127,0.071672,0.147995,807.929594,176.822283,0.123886,16.514029,8.089059
5,2,10,5,0,10,k,441.686139,43.928457,0.034619,0.203549,89.643911,238.055638,0.219576,58.850165,10.750225
6,2,10,6,0,10,k,1018.927723,40.475823,0.035755,0.194453,731.907276,208.868758,0.119395,28.303541,9.022722
7,2,10,7,0,10,k,761.322870,34.243451,0.033268,0.137506,534.407688,154.084370,0.308163,20.101245,18.007178
8,2,10,8,0,10,k,918.546325,33.709276,0.036690,0.137990,692.581512,166.921312,0.237044,8.761981,16.160520
9,2,10,9,0,10,k,1053.456298,29.470491,0.042877,0.029094,33.671438,967.899448,0.082450,2.451758,19.808743
10,2,10,10,0,10,k,495.296541,40.059495,0.029296,0.063403,35.224224,410.238961,0.118267,2.717141,6.845754
11,2,10,11,0,10,k,574.556378,39.193842,0.044911,0.050495,48.350630,476.075024,0.162336,3.192184,7.486955
12,2,10,12,0,10,k,248.871980,35.345678,0.042980,0.410384,57.630604,141.647140,0.119445,3.203279,10.472470
13,2,10,13,0,10,k,401.649277,56.608196,0.061974,0.478073,99.741503,205.458088,0.220321,5.072062,34.009060
14,2,10,14,0,10,k,577.887800,57.385283,0.060294,0.604474,149.092639,339.686041,2.197390,4.721651,24.140029
15,2,10,15,0,10,k,422.634289,52.157487,0.149455,0.282899,103.110155,230.655182,2.780200,15.733847,17.765065
